,Unnamed: 0,id,scrape_id,host_id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,availability_365,number_of_reviews
1213,1213,13658546,20240925021012,12130503,1.0,0.95,20.0,39.0,19.39399,-99.18816,4.0,1.0,2.0,2.0,1141.0,1.0,100,1.0,100.0,0,53,328,92.0
1214,1214,13668039,20240925021012,79482456,1.0,0.99,2.0,2.0,19.43116,-99.16487,2.0,1.4748595090209995,1.5696453569762017,1.9678361335646877,999.0,2.0,15,2.0,15.0,0,0,0,31.0
1215,1215,13674148,20240925021012,79556629,1.0,1.0,11.0,14.0,19.35593,-99.15818,2.0,1.4748595090209995,1.4,1.9678361335646877,999.0,1.0,1125,1.0,1125.0,22,82,82,20.0
1216,1216,14247265,20240925021012,1211416,1.0,0.99,1.0,1.0,19.41171,-99.16396,2.0,1.4748595090209995,1.0,1.9678361335646877,999.0,1.6,1125,1.8,1125.0,0,0,0,50.0
1217,1217,14253797,20240925021012,38864554,1.0,1.0,3.0,3.0,19.43065,-99.16225,2.0,1.0,1.0,1.0,900.0,1.6,1125,1.8,1125.0,0,30,188,61.0
1218,1218,14254645,20240925021012,25910302,1.0,1.0,2.0,2.0,19.4318,-99.16538,5.0,2.0,2.0,3.0,1336.0,1.0,365,1.0,1125.0,2,19,197,27.0
1219,1219,14255944,20240925021012,79556629,1.0,1.0,11.0,14.0,19.35647,-99.15819,2.0,1.0,1.0,1.0,980.0,1.0,1125,1.0,1125.0,30,90,365,23.0
1220,1220,14276073,20240925021012,257284,1.0,0.95,1.0,1.0,19.39448,-99.17753,3.0,2.0,2.0,2.0,990.0,1.6,700,5.0,700.0,15,28,265,32.0
1221,1221,14278552,20240925021012,48778951,1.0,0.96,2.0,2.0,19.4,-99.13929,2.0,1.0,1.0,1.0,250.0,1.0,1125,1.0,1125.0,0,6,281,27.0
1222,1222,13751465,20240925021012,80568143,1.0,1.0,8.0,18.0,19.4,-99.17043,1.0,1.0,1.0,1.0,400.0,1.0,1125,1.0,1125.0,0,54,329,7.0
1223,1223,13752095,20240925021012,76463984,1.0,0.99,1.0,1.0,19.33713,-99.15823,2.0,1.4748595090209995,1.0,1.9678361335646877,999.0,1.0,1125,1.0,1125.0,0,0,0,0.0
1224,1224,13764151,20240925021012,80691901,1.0,1.0,1.0,1.0,19.4,-99.12918,2.0,1.0,1.0,1.0,350.0,1.0,1125,1.0,1125.0,16,49,130,18.0
1225,1225,13786312,20240925021012,9557015,1.0,0.99,26.0,28.0,19.40958,-99.17371,6.0,1.5,3.0,1.6,2553.0,2.0,1125,2.0,244.5,0,19,247,122.0
1226,1226,13788743,20240925021012,81010801,1.0,0.95,2.0,2.0,19.3283,-99.13488,1.0,1.0,1.0,1.0,235.0,1.0,100,1.0,100.0,20,33,33,37.0
1227,1227,13788922,20240925021012,24109500,1.0,1.0,4.0,4.0,19.40701,-99.16875,6.0,2.0,3.0,1.6,1700.0,1.0,720,1.0,720.0,0,24,298,56.0
1228,1228,13812210,20240925021012,49735631,1.0,1.0,23.0,26.0,19.36788,-99.2,2.0,1.0,1.0,2.0,1033.0,1.0,1125,1.0,365.0,25,80,86,28.0
